,DQN,DDQN,Priority
147,-157.80506891995813,-156.348176911523,-143.89296325364865
148,-157.25287055738747,-155.18238784026414,-142.07329651798418
149,-157.02940323210683,-155.10908141109022,-142.62182232547138
150,-155.76615485168458,-154.08878513463347,-142.48230157581128
151,-153.84114913537348,-152.2451271172664,-141.17982978834556
152,-153.93692575732248,-152.20827143103173,-138.95511766256632
153,-154.04040037257383,-152.44461907563593,-140.09365983321197
154,-155.18444003047955,-149.95636562796273,-140.31434039687127
155,-154.26201174390948,-148.9781684764457,-139.0167411796126
156,-152.89733689815918,-147.28417270802578,-138.71497838074617
157,-152.49933028463235,-148.19677592846799,-139.5394432497251
158,-149.75879747301437,-149.66839486033217,-137.745954445572
159,-149.27684572057768,-150.14383252864408,-135.954943142352
160,-149.61428954703803,-148.76428655569532,-133.60789883213988
161,-146.7367107972051,-149.2900319874852,-133.47698393221515
162,-145.27021800502595,-147.26996266588537,-129.92623825424445
163,-145.2319987644809,-147.0125387416614,-129.87908943201205
164,-145.8225706704203,-147.3498116040915,-128.52270400279846
165,-145.05225677910497,-144.5241802191648,-128.01805691721557
166,-144.98671103627407,-143.4620033708671,-128.8086124434908
167,-145.732304703107,-144.50373453821055,-130.25509813922505
168,-145.1704156357096,-142.43577405447002,-129.1268624655817
169,-142.1726166812975,-141.723547319656,-127.73340843291126
170,-140.9839522382435,-138.09880606729416,-126.31523941272319
171,-140.3472881862631,-137.97525700624578,-126.39408856535536
172,-140.72821970750772,-138.33002558156855,-125.20393413798442
173,-138.11152680560636,-137.9709610722569,-123.944564622365
174,-136.77300916707142,-136.84874827827133,-124.97176291455526
175,-135.88271568395862,-135.72905026984867,-122.32944234458527
176,-136.9444602226777,-134.4127502408262,-121.80788819398836
177,-137.92324696360475,-132.6131897641859,-122.62651346311816
178,-137.40632301455872,-131.34073689370717,-119.68900374516002
179,-136.37610106112666,-131.0038251748201,-120.31104576868222
180,-136.7383157915743,-129.94778444224465,-119.26761879347805
181,-136.51840974327123,-128.4347742624261,-116.98855788776784
182,-137.56595283960763,-128.88135397735192,-117.32631248706963
183,-139.17257750660394,-128.1887108336817,-116.14885408014166
184,-139.10452834759275,-126.3339720023482,-116.4704109513378
185,-137.25755672077733,-123.57653159877898,-115.86461011282074
186,-136.08119315783753,-124.36985626858731,-116.35710672211113
187,-135.4179311401035,-124.95767487755873,-115.20720057273581
188,-134.39684093468315,-124.61781651834173,-113.70820571814808
189,-133.52673174299045,-121.07459166798486,-115.03565067969132
190,-132.37576899740822,-121.44182313220671,-113.67669278122365
191,-135.22641065804234,-119.74026874532973,-113.90117021465437
192,-135.90235342261215,-118.23810464062683,-114.72091770676337
193,-137.4341591806412,-117.84119873607375,-116.62327280940652
194,-137.12225658025255,-116.67317296011423,-115.79374056372626
195,-136.4102286180484,-119.07795022415102,-115.76055725351482
196,-136.5520979484997,-119.98904368072344,-116.65948118406106
197,-137.6644950954764,-117.50415526213628,-115.3616012889151
198,-137.34364535265547,-117.44121112589652,-113.51732669453257
199,-137.13905327813333,-116.15643377185845,-114.04071429373673
200,-136.00219704626963,-117.5979157765516,-114.2600523990711
201,-135.6019567428274,-115.21770271278176,-114.8899245652707
202,-137.26281012773933,-117.17343787413684,-112.84100968718226
203,-135.85247562461893,-116.52071223980383,-112.08691393031307
204,-133.3700510630198,-115.91860060020468,-112.37220349195275
205,-133.75769825161748,-113.56895196553025,-112.81728548346811
206,-134.70071166917708,-112.9631785492287,-111.10963353103234
207,-133.63503484314134,-112.1921771852371,-112.45078338916034
208,-133.13999699072426,-111.4976367369722,-113.98273995016079
209,-132.44990235226933,-111.31380220978042,-116.2102786260611
210,-131.15919203277537,-111.35972338928045,-118.06821480131724
211,-133.47319924954138,-107.55000122985021,-118.60940829083718
212,-131.31393346055137,-109.15049589472099,-116.27481923920834
213,-130.30541963326286,-103.93365335356984,-119.34613617434587
214,-131.3003453556201,-102.28166845393999,-121.26271936142902
215,-129.5879670456304,-103.38765353304039,-122.6655424933584
216,-130.98603859695487,-105.2948641461272,-121.6817361293456
217,-130.91393315368086,-105.2103648809232,-120.39519378433198
218,-129.51279448181657,-103.797079083967,-121.22985167435685
219,-128.69869175890074,-103.23394992960522,-121.1505157699935
220,-129.59255405948494,-102.89366668543482,-121.12506613567713
221,-130.8613548643932,-103.79735918683649,-123.08002565482121
222,-130.65204118475665,-103.43687975198489,-122.61951176317429
223,-130.89164840140364,-102.6596973786776,-122.77233941190653
224,-130.83535289862482,-103.14663050492527,-125.974087129137
225,-130.35220489725415,-102.12049831257518,-124.20293773899422
226,-131.6762605000837,-100.02743764575096,-121.98182274477819
227,-131.96250541200112,-99.72248064623163,-122.51707973686655
228,-131.27858399952845,-97.63006104560736,-122.50330325275945
229,-130.04108830142204,-98.05024944739326,-122.36489619712452
230,-129.0782225536771,-97.0557862572157,-121.35128255631194
231,-126.72839489857967,-100.07492258255505,-121.07668387469928
232,-127.58667337265925,-98.90493464311464,-121.83832550966798
233,-128.54107396286875,-100.18140599590971,-121.06413312512458
234,-128.3717660951052,-99.70127859138638,-119.69890325634358
235,-128.657586641487,-102.05405916176147,-119.9305771779621
236,-129.08100069186966,-104.9707107578684,-120.99582814653604
237,-127.72857729403339,-102.81445591751005,-121.5209685929183
238,-127.24870542065938,-102.07545039207507,-122.72304312383824
239,-127.35201674853352,-101.74112110699384,-122.79133154554265
240,-126.35387427306244,-101.38071051840791,-123.6562885686131
241,-127.59560324072372,-103.9236561303278,-123.86764323200136
242,-127.74121365718541,-106.15565101411076,-123.7017370091102
243,-127.25219371823394,-103.94452955451456,-123.19919757689401
244,-126.42282024634285,-106.48966974090916,-123.79382280420752
245,-124.335253309367,-104.74131628425556,-124.62797883246664
246,-125.54521585526444,-102.72070189755647,-123.6888509027894
247,-124.05980325931758,-102.35704581239519,-121.6160237250974
248,-123.80253837302253,-102.61677658891837,-121.04271197484906
249,-123.283514457998,-103.43994887026115,-119.75998533361897
250,-121.79312909528447,-101.69817304279911,-120.7595871740075
251,-122.14860224622551,-102.58895285938478,-120.3182914683438
252,-121.66154916345617,-102.41982683439767,-119.89804804517968
253,-121.18734405316148,-100.45228608202719,-120.68491159987438
254,-121.80233259273162,-99.85825068698547,-121.29903594613265
255,-123.71981591262399,-100.80592076839588,-124.64082229782913
256,-123.08531931568649,-97.9540423602449,-124.77034201325863
257,-121.86331497370843,-96.97059540727366,-126.31515082447541
258,-120.24927531162756,-94.60584010398092,-125.39405588007696
259,-118.10268578155201,-92.21464037315602,-126.64615259233153
260,-117.07645193328614,-94.92197753488453,-128.7289109049159
261,-119.10861563728982,-94.27108335518456,-128.96081486973242
262,-119.35260494163899,-95.83140863619391,-129.42204918707276
263,-117.00945709527397,-98.23846174258537,-128.64270651405772
264,-115.85788120498928,-94.53253436401735,-128.56878047367476
265,-113.078216290655,-94.83022518075211,-126.76998947349247
266,-111.66591648012817,-95.71283245147346,-125.10179652090333
267,-110.10619733705947,-97.9267640219492,-126.54413481723881
268,-109.18644290182067,-96.38091837222855,-125.75695075618681
269,-109.02005466713996,-95.47881967170079,-126.2662658133251
270,-111.3334019642229,-93.58923802794114,-126.51227635578893
271,-113.50578889562563,-91.21394964331861,-125.76678506457634
272,-112.77578214979276,-89.27456716046949,-126.80346719146696
273,-113.95969203253306,-90.12200591359786,-125.94908396275956
274,-115.28940482088645,-89.64783692226878,-125.41897829262786
275,-115.26775892113672,-89.97180870885751,-124.03031126506403
276,-114.5378980493726,-90.02287460424014,-125.66623024676466
277,-114.176273727758,-89.35078191045618,-124.92453428300264
278,-112.91287890467969,-88.91593628340588,-124.13940618408341
279,-112.44606898357883,-89.08333327368291,-124.92972914299246
280,-111.73341783063182,-88.91381223236975,-125.05779357462514
281,-110.75253169522045,-86.78243588412775,-125.24933149105009
282,-110.09974261660643,-89.15508245847943,-124.1556416038747
283,-107.13649010957545,-87.25442123240452,-124.60155297050291
284,-105.56525957780644,-85.22254596259637,-122.46124834340625
285,-104.89841138980817,-85.67304187407443,-122.31195682169253
286,-105.05693959865661,-83.58078637880449,-123.20031407729338
287,-104.36945237682683,-80.9047701030125,-124.78593306200055
288,-104.2757468941803,-79.93819087764683,-125.35882796359027
289,-103.38328607811187,-81.47680123100966,-123.80013055717734
290,-102.53882116372888,-79.12045221071736,-125.49458110217125
291,-100.28152537133651,-78.39039715574965,-125.03705633816067
292,-100.03672157342751,-76.95054974729253,-124.11045920753031
293,-97.59712078243315,-73.96900187837308,-124.43777494424172
294,-96.66542019872975,-74.83877365994998,-125.5828352276654
295,-96.12630214796437,-71.83933579781426,-124.53629880509027
296,-95.93768705654371,-72.63373033662857,-123.86015803476644
297,-92.11025286485066,-72.38424094567473,-122.87949190769046
298,-91.40898337272601,-72.27888270700697,-126.73349392375195
299,-89.9476496463261,-71.91796413761132,-127.36518826061497
300,-88.39605425812198,-70.11578596806919,-128.063843292187
301,-89.1005445703403,-67.41381174879243,-127.4579883748872
302,-87.07319714425084,-65.70502228350315,-130.00875448236695
303,-86.69428517592378,-68.21311275785665,-130.7076945023449
304,-86.90065791696392,-67.60417492175557,-130.69452240886977
305,-85.74757749030627,-65.49611406312339,-128.42210986582595
306,-84.02712478703266,-65.7153532325381,-129.90530384717607
307,-84.28764473408211,-66.29931930230113,-126.19365442941634
308,-83.83887981711567,-63.494776505041585,-122.7877185844032
309,-82.93652928767982,-61.67352735757199,-119.12704926048484
310,-83.19834516359413,-59.310137604817164,-117.23117848834062
